Date,SS1,SS2,SS3
1/5/2016,7.75,8.48,8.98
1/25/2016,21.30,21.95,21.81
2/8/2016,20.37,21.02,20.63
2/16/2016,20.03,20.55,20.22
2/1/2016,20.75,21.39,20.94
1/11/2016,19.02,18.66,18.74
2/22/2016,20.07,20.61,20.28
2/29/2016,19.92,20.55,20.13
3/14/2016,22.37,23.81,22.63
3/21/2016,20.36,20.87,20.46
3/28/2016,20.12,20.65,20.23
4/4/2016,19.97,20.51,20.10
4/18/2016,19.78,20.31,19.90
4/11/2016,19.88,20.42,20.00
4/25/2016,19.68,20.17,19.76
4/29/2016,19.76,20.23,19.83
5/9/2016,19.53,20.05,19.64
5/16/2016,19.53,20.11,19.64
5/31/2016,19.27,19.76,19.32
5/23/2016,19.45,19.94,19.48
6/13/2016,18.08,18.59,17.91
6/20/2016,17.37,17.62,17.18
6/27/2016,16.52,16.81,16.39
7/11/2016,15.78,16.19,15.70
7/18/2016,15.34,15.65,15.22
7/6/2016,16.32,16.59,16.12
7/25/2016,14.71,15.03,14.63
8/1/2016,14.25,14.68,14.23
9/5/2016,12.46,12.96,12.55
8/8/2016,13.80,14.27,13.83
8/29/2016,12.68,13.26,12.83
8/22/2016,13.07,13.59,13.18
8/15/2016,13.47,13.95,13.54
9/12/2016,12.02,12.76,12.33
10/4/2016,9.32,10.96,10.93
10/24/2016,10.31,10.93,11.81
12/27/2016,20.06,20.38,20.20
12/5/2016,9.67,10.60,11.48
11/21/2016,9.58,10.64,11.31
10/31/2016,10.13,11.01,11.73
10/24/2016,10.31,10.93,11.81
12/27/2016,20.06,20.38,20.20
11/7/2016,10.13,10.65,11.63
10/11/2016,10.47,11.06,11.75
11/21/2016,9.58,10.64,11.31
1/17/2017,21.37,21.57,21.33
1/30/2017,21.26,21.71,21.04
2/13/2017,22.02,22.67,22.43
3/13/2017,20.13,20.54,19.81
4/3/2017,19.90,20.25,19.47
4/17/2017,20.55,20.85,19.94
5/15/2017,19.67,20.13,19.34
5/1/2017,20.19,20.55,19.66
6/5/2017,19.93,20.25,19.38
8/1/2017,19.41,19.66,18.76
7/18/2017,19.26,19.64,18.88
6/19/2017,19.93,20.26,19.44
11/14/2017,12.91,13.57,13.48
9/19/2017,16.36,16.76,16.18
12/4/2017,13.16,13.56,13.41
10/17/2017,14.12,14.56,13.97
10/30/2017,13.31,13.71,13.22
11/8/2017,NA,NA,13.14
12/18/2017,12.62,13.06,12.89
1/3/2017,19.78,20.06,19.83
1/2/2018,12.96,13.36,13.21
1/16/2018,13.71,14.09,13.91
2/5/2018,13.77,14.15,13.97
2/26/2018,13.78,14.16,13.94
3/15/2018,20.78,21.18,20.32
3/28/2018,NA,NA,20.89
4/2/2018,20.24,20.62,19.85
4/30/2018,19.64,19.45,19.04
5/14/2018,19.58,19.54,19.28
6/4/2018,19.38,19.17,18.73
6/18/2018,18.15,18.15,17.67
7/2/2018,16.34,16.41,16.10
8/1/2018,14.83,15.16,14.76
7/16/2018,15.01,15.16,14.81
11/5/2018,11.15,11.71,11.68
11/19/2018,10.42,10.86,11.06
12/3/2018,13.07,13.50,13.23
8/13/2018,13.61,14.18,13.83
12/15/2018,12.03,12.46,12.03
9/5/2018,12.28,12.95,12.53
10/15/2018,11.55,11.97,12.02
9/17/2018,12.45,12.77,12.31
10/1/2018,11.62,12.52,12.03
1/3/2019,19.30,19.56,18.58
1/14/2019,20.72,21.11,20.31
2/6/2019,22.02,22.64,22.24
2/19/2019,21.37,21.85,21.25
3/4/2019,21.91,22.46,21.95
3/18/2019,20.48,20.94,20.14
4/1/2019,20.14,20.55,19.75
